,copyright,date,location,panoLAT,panoLON,pano_id,searchLAT,searchLON,status
23,"© Google, Inc.",2012-08,"{'lat': 40.30974158551686, 'lng': -105.0717529009595}",40.30974158551686,-105.0717529009595,xvAkzP2WbFOsxwP_yl0NXw,40.309556250306954,-105.07177999999999,OK
25,"© Google, Inc.",2012-08,"{'lat': 40.30538278487361, 'lng': -105.071392435786}",40.30538278487361,-105.071392435786,f-5b3I3ClSTl1tHphRTI4A,40.305424,-105.07160033694318,OK
26,"© Google, Inc.",2012-08,"{'lat': 40.30566079535593, 'lng': -105.071383931863}",40.30566079535593,-105.071383931863,yR7ObnBpBJuTaw2tA3B00A,40.30560366305683,-105.07160033694318,OK
27,"© Google, Inc.",2012-08,"{'lat': 40.30588277036691, 'lng': -105.0716222982394}",40.30588277036691,-105.0716222982394,Gh_rI0xMrwbfrlNIVFuRhw,40.30578332611365,-105.07160033694318,OK
29,"© Google, Inc.",2012-08,"{'lat': 40.30615538837553, 'lng': -105.0713768301174}",40.30615538837553,-105.0713768301174,-yYH3BP5NxrDGS6Gm7czww,40.3061426522273,-105.07160033694318,OK
35,"© Google, Inc.",2012-08,"{'lat': 40.30719018549988, 'lng': -105.0713866714046}",40.30719018549988,-105.0713866714046,FyAEdrvDIT8uV1ICQWJ_OQ,40.30722063056824,-105.07160033694318,OK
36,"© Google, Inc.",2012-08,"{'lat': 40.30744378873457, 'lng': -105.071542299865}",40.30744378873457,-105.071542299865,6I50uhOW4dYWePJpMQwYTg,40.307400293625065,-105.07160033694318,OK
39,"© Google, Inc.",2012-08,"{'lat': 40.30791583193687, 'lng': -105.071388242204}",40.30791583193687,-105.071388242204,7jnl4rijtQHkkuj0596W3Q,40.30793928279554,-105.07160033694318,OK
40,"© Google, Inc.",2012-08,"{'lat': 40.30821261082518, 'lng': -105.0715640938775}",40.30821261082518,-105.0715640938775,Ku04Td9dv-yalAXbBvb0Zg,40.308118945852364,-105.07160033694318,OK
42,"© Google, Inc.",2012-08,"{'lat': 40.30845451217502, 'lng': -105.0713890900215}",40.30845451217502,-105.0713890900215,uItIByQEaYBID72qSkU1lw,40.30847827196601,-105.07160033694318,OK
48,"© Google, Inc.",2012-08,"{'lat': 40.30959448347105, 'lng': -105.0713979634012}",40.30959448347105,-105.0713979634012,L00HGe1uhiqwll5ku5xmaw,40.309556250306954,-105.07160033694318,OK
49,"© Google, Inc.",2012-08,"{'lat': 40.30974115131011, 'lng': -105.0716113805757}",40.30974115131011,-105.0716113805757,09vMrfo19lpRiBXXdnTEcA,40.309735913363774,-105.07160033694318,OK
52,"© Google, Inc.",2012-08,"{'lat': 40.30578668595661, 'lng': -105.0713814500197}",40.30578668595661,-105.0713814500197,9qnRPsrv1yvZJg1iQ4RBtw,40.30578332611365,-105.07142067388635,OK
53,"© Google, Inc.",2012-08,"{'lat': 40.30592157178341, 'lng': -105.0713791440157}",40.30592157178341,-105.0713791440157,1qfT42w3bZZFWS_ps4Rn3Q,40.305962989170474,-105.07142067388635,OK
58,"© Google, Inc.",2012-08,"{'lat': 40.30681248862114, 'lng': -105.0713818895966}",40.30681248862114,-105.0713818895966,3ncNpDSu3irRZrA4ynwuWg,40.30686130445459,-105.07142067388635,OK
61,"© Google, Inc.",2012-08,"{'lat': 40.30738802672207, 'lng': -105.0713891761612}",40.30738802672207,-105.0713891761612,wTPNUmRqFH5rq_R-U2jqcA,40.307400293625065,-105.07142067388635,OK
62,"© Google, Inc.",2012-08,"{'lat': 40.30760562117513, 'lng': -105.0713893349207}",40.30760562117513,-105.0713893349207,OkspAD0F7V1iZtVjl0nhcQ,40.30757995668189,-105.07142067388635,OK
65,"© Google, Inc.",2012-08,"{'lat': 40.30809435430993, 'lng': -105.0713876133547}",40.30809435430993,-105.0713876133547,DmEmUaliRy34VLv11kOtGA,40.308118945852364,-105.07142067388635,OK
66,"© Google, Inc.",2012-08,"{'lat': 40.30826565826112, 'lng': -105.0713876200048}",40.30826565826112,-105.0713876200048,91FQTiyNux7uKQTEN6EKXA,40.30829860890918,-105.07142067388635,OK
74,"© Google, Inc.",2012-08,"{'lat': 40.30974071710337, 'lng': -105.0714698601919}",40.30974071710337,-105.0714698601919,hOJD1LqWulpwOV47h8Wm-Q,40.309735913363774,-105.07142067388635,OK
78,"© Google, Inc.",2012-08,"{'lat': 40.30588720254448, 'lng': -105.0711908270968}",40.30588720254448,-105.0711908270968,U_3XsGsl7QGYEWLrG5lDSw,40.305962989170474,-105.07124101082952,OK
86,"© Google, Inc.",2012-08,"{'lat': 40.30744638965998, 'lng': -105.0713073633192}",40.30744638965998,-105.0713073633192,p0ctzP-g4xSScHAG8WJ4Qg,40.307400293625065,-105.07124101082952,OK
90,"© Google, Inc.",2012-08,"{'lat': 40.30821447450693, 'lng': -105.0711826398531}",40.30821447450693,-105.0711826398531,8ZRVtuAa77djutGLrhKTig,40.308118945852364,-105.07124101082952,OK
99,"© Google, Inc.",2012-08,"{'lat': 40.30974182540678, 'lng': -105.0712002899776}",40.30974182540678,-105.0712002899776,CNMI-yMFHGMyj45sG4VSmQ,40.309735913363774,-105.07124101082952,OK
100,"© Google, Inc.",2015-07,"{'lat': 40.3052598423175, 'lng': -105.0711066108618}",40.3052598423175,-105.0711066108618,yYHBM0WeuTNhA3ey67S4vg,40.305424,-105.0710613477727,OK
102,"© Google, Inc.",2012-08,"{'lat': 40.30588910556605, 'lng': -105.0709667780243}",40.30588910556605,-105.0709667780243,pBRrYZ9BCVSG9jG7Fux4oQ,40.30578332611365,-105.0710613477727,OK
110,"© Google, Inc.",2012-08,"{'lat': 40.30745038570412, 'lng': -105.0710301407778}",40.30745038570412,-105.0710301407778,i20r2T8bcKh_YW-ppAgMPA,40.30722063056824,-105.0710613477727,OK
115,"© Google, Inc.",2012-08,"{'lat': 40.30821662932063, 'lng': -105.0710237503972}",40.30821662932063,-105.0710237503972,NapmL6dqH-svpcqZgd64Hg,40.308118945852364,-105.0710613477727,OK
123,"© Google, Inc.",2012-08,"{'lat': 40.30974272158532, 'lng': -105.071065834929}",40.30974272158532,-105.071065834929,cvCPrN00N4OelGrz3zC15Q,40.309556250306954,-105.0710613477727,OK
